,Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,Difference,C-Difference
0,1998-05-04,1761,1769,1685,1753,176170,0.0,1347.0,0.8026823816297548,0,10.72603568188697
1,1998-05-06,1746,1784,1677,1730,193140,-1.3120365088419852,1368.5,1.5961395694135114,-23,21.5
2,1998-05-07,1719,1807,1685,1806,169580,4.393063583815029,1401.5,2.411399342345634,76,33.0
3,1998-05-08,1715,1807,1715,1753,65930,-2.934662236987818,1387.0,-1.0346057795219408,-53,-14.5
4,1998-05-11,1753,1753,1600,1707,146200,-2.6240730176839704,1390.5,0.25234318673395817,-46,3.5
5,1998-05-12,1506,1563,1506,1524,200360,-10.720562390158172,1388.0,-0.17979144192736426,-183,-2.5
6,1998-05-13,1375,1486,1341,1341,304230,-12.007874015748031,1417.5,2.1253602305475505,-183,29.5
7,1998-05-14,1219,1463,1219,1387,360250,3.43027591349739,1422.5,0.3527336860670194,46,5.0
8,1998-05-15,1364,1409,1249,1334,239260,-3.821196827685652,1437.5,1.054481546572935,-53,15.0
9,1998-05-18,1410,1525,1410,1521,316940,14.017991004497752,1445.0,0.5217391304347827,187,7.5
10,1998-05-19,1516,1562,1456,1532,280580,0.7232084155161078,1442.5,-0.17301038062283738,11,-2.5
11,1998-05-20,1531,1638,1509,1639,382060,6.984334203655353,1409.5,-2.2876949740034664,107,-33.0
12,1998-05-21,1601,1707,1563,1631,349080,-0.4881025015253203,1391.5,-1.2770485987938986,-8,-18.0
13,1998-05-22,1600,1600,1509,1555,159260,-4.659717964438995,1383.5,-0.5749191519942508,-76,-8.0
14,1998-05-25,1536,1536,1410,1418,70330,-8.810289389067524,1384.5,0.07228044813877846,-137,1.0
15,1998-05-26,1308,1357,1303,1311,99520,-7.5458392101551475,1395.0,0.7583965330444203,-107,10.5
16,1998-05-27,1296,1467,1258,1410,69480,7.551487414187644,1412.5,1.2544802867383513,99,17.5
17,1998-05-28,1387,1471,1334,1402,159040,-0.5673758865248227,1402.0,-0.7433628318584071,-8,-10.5
18,1998-05-29,1478,1570,1448,1570,284790,11.982881597717546,1407.5,0.39229671897289586,168,5.5
19,1998-06-01,1524,1570,1486,1509,139520,-3.8853503184713376,1398.5,-0.6394316163410302,-61,-9.0
20,1998-06-02,1478,1478,1380,1380,116430,-8.548707753479125,1403.5,0.3575259206292456,-129,5.0
21,1998-06-03,1399,1471,1387,1444,88710,4.63768115942029,1392.5,-0.7837548984681154,64,-11.0
22,1998-06-05,1460,1483,1410,1471,135060,1.8698060941828254,1394.5,0.1436265709156194,27,2.0
23,1998-06-08,1471,1516,1448,1482,110910,0.7477906186267845,1399.0,0.32269630692004303,11,4.5
24,1998-06-09,1409,1456,1409,1410,76450,-4.8582995951417,1396.0,-0.21443888491779842,-72,-3.0
25,1998-06-10,1440,1448,1402,1410,113270,0.0,1393.75,-0.16117478510028654,0,-2.25
26,1998-06-11,1409,1444,1402,1410,138320,0.0,1393.0,-0.053811659192825115,0,-0.75
27,1998-06-12,1410,1410,1365,1380,207530,-2.127659574468085,1397.5,0.3230437903804738,-30,4.5
28,1998-06-15,1349,1387,1318,1326,143420,-3.91304347826087,1436.0,2.7549194991055455,-54,38.5
29,1998-06-16,1303,1326,1265,1269,71630,-4.298642533936651,1431.5,-0.31337047353760444,-57,-4.5
30,1998-06-17,1280,1387,1220,1372,142420,8.116627265563437,1420.5,-0.7684247293049249,103,-11.0
31,1998-06-18,1340,1536,1340,1509,230850,9.98542274052478,1393.5,-1.9007391763463568,137,-27.0
32,1998-06-19,1380,1486,1380,1448,185660,-4.042412193505633,1393.5,0.0,-61,0.0
33,1998-06-22,1440,1486,1409,1425,69020,-1.5883977900552488,1393.0,-0.03588087549336204,-23,-0.5
34,1998-06-23,1395,1410,1361,1376,77520,-3.43859649122807,1384.0,-0.6460875807609476,-49,-9.0
35,1998-06-24,1296,1375,1296,1357,113460,-1.380813953488372,1380.5,-0.25289017341040465,-19,-3.5
36,1998-06-25,1333,1509,1303,1353,95510,-0.2947678703021371,1373.0,-0.5432814197754438,-4,-7.5
37,1998-06-26,1410,1449,1357,1364,74390,0.8130081300813009,1386.5,0.9832483612527313,11,13.5
38,1998-06-29,1486,1486,1387,1395,67120,2.272727272727273,1383.5,-0.2163721601153985,31,-3.0
39,1998-06-30,1364,1390,1333,1391,68650,-0.2867383512544803,1373.0,-0.7589447054571739,-4,-10.5
40,1998-07-01,1396,1471,1357,1402,178070,0.7907979870596693,1370.5,-0.1820830298616169,11,-2.5
41,1998-07-02,1403,1479,1380,1399,154110,-0.21398002853067047,1368.0,-0.18241517694272164,-3,-2.5
42,1998-07-03,1410,1434,1396,1402,69100,0.21443888491779842,1356.5,-0.8406432748538011,3,-11.5
43,1998-07-06,1372,1395,1356,1395,69700,-0.4992867332382311,1346.0,-0.7740508661997788,-7,-10.5
44,1998-07-07,1387,1410,1349,1395,126480,0.0,1345.5,-0.03714710252600297,0,-0.5
45,1998-07-08,1441,1559,1395,1524,550130,9.247311827956988,1332.5,-0.966183574879227,129,-13.0
46,1998-07-09,1536,1555,1409,1410,247690,-7.480314960629922,1307.5,-1.876172607879925,-114,-25.0
47,1998-07-10,1513,1513,1372,1410,136080,0.0,1313.0,0.42065009560229444,0,5.5
48,1998-07-13,1334,1356,1280,1288,221420,-8.652482269503546,1312.5,-0.03808073115003808,-122,-0.5
49,1998-07-14,1311,1341,1287,1319,199160,2.406832298136646,1289.0,-1.7904761904761906,31,-23.5
50,1998-07-15,1327,1475,1318,1433,346420,8.642911296436695,1283.0,-0.46547711404189296,114,-6.0
51,1998-07-16,1448,1493,1418,1444,379060,0.7676203768318213,1283.5,0.03897116134060795,11,0.5
52,1998-07-20,1562,1615,1502,1601,641040,10.87257617728532,1289.0,0.4285157771717959,157,5.5
53,1998-07-21,1677,1731,1638,1642,697110,2.5608994378513428,1291.5,0.1939487975174554,41,2.5
54,1998-07-22,1654,1715,1563,1646,492830,0.24360535931790497,1290.0,-0.11614401858304298,4,-1.5
55,1998-07-23,1650,1677,1525,1540,362830,-6.439854191980558,1275.0,-1.1627906976744187,-106,-15.0
56,1998-07-24,1509,1539,1452,1494,211840,-2.987012987012987,1245.75,-2.2941176470588234,-46,-29.25
57,1998-07-27,1409,1486,1409,1421,228010,-4.886211512717536,1210.0,-2.869757174392936,-73,-35.75
58,1998-07-28,1433,1471,1433,1448,194660,1.9000703729767767,1256.5,3.84297520661157,27,46.5
59,1998-07-29,1479,1578,1479,1524,384310,5.248618784530387,1243.5,-1.0346199761241544,76,-13.0
60,1998-07-30,1516,1585,1493,1547,267520,1.5091863517060367,1234.5,-0.7237635705669482,23,-9.0
61,1998-07-31,1578,1731,1578,1730,556540,11.82934712346477,1230.5,-0.3240178209801539,183,-4.0
62,1998-08-03,1760,1813,1638,1639,649780,-5.2601156069364166,1245.0,1.178382771231207,-91,14.5
63,1998-08-04,1684,1806,1677,1684,599590,2.7455765710799267,1240.5,-0.3614457831325301,45,-4.5
64,1998-08-05,1722,1867,1677,1867,1241380,10.866983372921615,1265.0,1.9750100765820233,183,24.5
65,1998-08-06,1860,1867,1692,1749,635250,-6.320299946438136,1330.5,5.177865612648222,-118,65.5
66,1998-08-07,1697,1750,1593,1631,472950,-6.746712407089765,1325.0,-0.41337842916196915,-118,-5.5
67,1998-08-10,1486,1547,1474,1509,303500,-7.480073574494176,1335.0,0.7547169811320755,-122,10.0
68,1998-08-11,1531,1669,1531,1547,403240,2.5182239893969514,1335.0,0.0,38,0.0
69,1998-08-12,1525,1525,1449,1471,230140,-4.912734324499031,1333.0,-0.149812734082397,-76,-2.0
70,1998-08-13,1524,1524,1449,1448,233310,-1.563562202583277,1335.0,0.15003750937734434,-23,2.0
71,1998-08-14,1478,1509,1421,1509,249020,4.212707182320442,1335.0,0.0,61,0.0
72,1998-08-17,1524,1631,1493,1532,266630,1.5241882041086812,1334.0,-0.0749063670411985,23,-1.0
73,1998-08-18,1395,1486,1395,1463,211710,-4.503916449086162,1317.5,-1.23688155922039,-69,-16.5
74,1998-08-19,1559,1627,1455,1479,487320,1.0936431989063569,1304.0,-1.0246679316888045,16,-13.5
75,1998-08-20,1502,1525,1456,1505,373270,1.757944557133198,1300.0,-0.3067484662576687,26,-4.0
76,1998-08-21,1501,1516,1471,1475,195140,-1.9933554817275747,1300.5,0.038461538461538464,-30,0.5
77,1998-08-24,1440,1463,1433,1440,139530,-2.3728813559322033,1305.5,0.3844675124951942,-35,5.0
78,1998-08-25,1449,1487,1441,1471,176740,2.1527777777777777,1307.5,0.15319800842589046,31,2.0
79,1998-08-26,1478,1539,1471,1509,214710,2.583276682528892,1308.5,0.07648183556405354,38,1.0
80,1998-08-27,1540,1540,1459,1463,169980,-3.0483764082173623,1320.5,0.9170806266717615,-46,12.0
81,1998-08-28,1440,1463,1410,1463,185480,0.0,1336.5,1.21166224914805,0,16.0
82,1998-08-31,1563,1601,1498,1578,607440,7.86056049213944,1350.0,1.0101010101010102,115,13.5
83,1998-09-01,1570,1638,1509,1562,514260,-1.0139416983523446,1355.0,0.3703703703703704,-16,5.0
84,1998-09-02,1562,1600,1509,1517,339090,-2.880921895006402,1340.5,-1.0701107011070112,-45,-14.5
85,1998-09-03,1563,1678,1525,1524,1069550,0.4614370468029005,1330.0,-0.7832898172323759,7,-10.5
86,1998-09-04,1563,1571,1487,1486,376830,-2.493438320209974,1343.0,0.9774436090225564,-38,13.0
87,1998-09-07,1493,1578,1493,1532,220900,3.095558546433378,1343.5,0.03723008190618019,46,0.5
88,1998-09-08,1585,1662,1525,1540,490180,0.5221932114882507,1357.0,1.0048381094157053,8,13.5
89,1998-09-09,1574,1615,1524,1566,218850,1.6883116883116882,1360.0,0.2210759027266028,26,3.0
90,1998-09-10,1558,1558,1524,1547,214390,-1.2132822477650063,1368.5,0.625,-19,8.5
91,1998-09-11,1524,1551,1513,1517,191890,-1.9392372333548804,1367.5,-0.07307270734380708,-30,-1.0
92,1998-09-14,1524,1531,1497,1509,182330,-0.5273566249176005,1390.5,1.6819012797074957,-8,23.0
93,1998-09-15,1524,1547,1494,1501,184160,-0.5301524188204109,1381.5,-0.6472491909385114,-8,-9.0
94,1998-09-16,1555,1562,1521,1532,232670,2.0652898067954695,1375.5,-0.43431053203040176,31,-6.0
95,1998-09-17,1509,1520,1490,1494,164520,-2.4804177545691903,1382.5,0.5089058524173028,-38,7.0
96,1998-09-18,1494,1513,1463,1467,156290,-1.8072289156626504,1386.0,0.25316455696202533,-27,3.5
97,1998-09-21,1479,1547,1460,1471,256500,0.27266530334015,1392.5,0.468975468975469,4,6.5
98,1998-09-22,1502,1502,1440,1448,132380,-1.563562202583277,1398.5,0.43087971274685816,-23,6.0
99,1998-09-23,1449,1456,1418,1418,98680,-2.071823204419889,1402.0,0.2502681444404719,-30,3.5
100,1998-09-24,1456,1487,1425,1452,152710,2.3977433004231314,1392.5,-0.6776034236804565,34,-9.5
101,1998-09-25,1463,1478,1425,1433,112270,-1.3085399449035813,1386.5,-0.43087971274685816,-19,-6.0
102,1998-09-28,1493,1509,1440,1440,164040,0.48848569434752265,1382.65,-0.2776776054814215,7,-3.849999999999909
103,1998-09-29,1471,1471,1433,1471,116350,2.1527777777777777,1371.5,-0.8064224496438064,31,-11.150000000000091
104,1998-09-30,1471,1505,1455,1479,262240,0.5438477226376615,1390.75,1.4035727305869485,8,19.25
105,1998-10-01,1494,1502,1463,1471,141190,-0.5409060175794456,1388.6,-0.15459284558692007,-8,-2.150000000000091
106,1998-10-02,1471,1494,1463,1486,142870,1.0197144799456153,1388.25,-0.02520524269047307,15,-0.34999999999990905
107,1998-10-07,1501,1593,1501,1547,597080,4.104979811574697,1381.0,-0.5222402305060327,61,-7.25
108,1998-10-08,1578,1585,1516,1532,327640,-0.9696186166774402,1360.0,-1.5206372194062274,-15,-21.0
109,1998-10-09,1570,1638,1539,1601,585860,4.503916449086162,1330.0,-2.2058823529411766,69,-30.0
110,1998-10-12,1677,1784,1643,1734,877840,8.30730793254216,1319.0,-0.8270676691729323,133,-11.0
111,1998-10-13,1757,1856,1715,1730,959340,-0.2306805074971165,1338.0,1.4404852160727823,-4,19.0
112,1998-10-14,1731,1768,1662,1730,432440,0.0,1348.0,0.7473841554559043,0,10.0
113,1998-10-15,1753,1806,1734,1791,667640,3.5260115606936417,1334.5,-1.0014836795252227,61,-13.5
114,1998-10-16,1943,1959,1791,1791,1013020,0.0,1323.5,-0.8242787560884226,0,-11.0
115,1998-10-19,2081,2211,2005,2050,1615290,14.461194863204913,1326.0,0.18889308651303363,259,2.5
116,1998-10-20,2042,2096,1997,2050,643010,0.0,1328.0,0.1508295625942685,0,2.0
117,1998-10-21,2134,2195,2004,2004,956970,-2.24390243902439,1324.5,-0.2635542168674699,-46,-3.5
118,1998-10-22,2009,2073,1982,1997,421010,-0.34930139720558884,1322.75,-0.13212533031332577,-7,-1.75
119,1998-10-23,1997,2012,1871,1898,492950,-4.957436154231347,1317.0,-0.4347004347004347,-99,-5.75
120,1998-10-26,1833,1844,1753,1761,325580,-7.218124341412013,1314.5,-0.18982536066818526,-137,-2.5
121,1998-10-27,1760,1829,1737,1791,440510,1.7035775127768313,1319.5,0.3803727653100038,30,5.0
122,1998-10-28,1799,1943,1768,1829,516610,2.121719709659408,1315.0,-0.34103827207275483,38,-4.5
123,1998-10-29,1829,1829,1783,1791,333800,-2.077638053581192,1314.5,-0.03802281368821293,-38,-0.5
